,name,link,caption_top,caption_bottom,local_link,votes
0,Y U No,/Y-U-No,commercial,y u no same volume as show!?,/u/as3ek/github/reversible-meme/data/images/Y-U-No.png,1206
1,Y U No,/Y-U-No,UGLY GIRL Y U PLAY HARD TO GET,WHEN U ALREADY HARD TO WANT,/u/as3ek/github/reversible-meme/data/images/Y-U-No.png,1073
2,Y U No,/Y-U-No,Victoria,y u no tell us your secret?!,/u/as3ek/github/reversible-meme/data/images/Y-U-No.png,1030
3,Y U No,/Y-U-No,KONY,Y u no take justin bieber,/u/as3ek/github/reversible-meme/data/images/Y-U-No.png,916
4,Y U No,/Y-U-No,TED,y u no tell us how you met their mother,/u/as3ek/github/reversible-meme/data/images/Y-U-No.png,889
5,Y U No,/Y-U-No,Google,Y U NO LET ME FINISH TYPING?,/u/as3ek/github/reversible-meme/data/images/Y-U-No.png,858
6,Y U No,/Y-U-No,universal remote,y u no work on universe?,/u/as3ek/github/reversible-meme/data/images/Y-U-No.png,755
7,Y U No,/Y-U-No,INTERNET,y u nO LET ME STUDY,/u/as3ek/github/reversible-meme/data/images/Y-U-No.png,716
8,Y U No,/Y-U-No,pink floyd,y u no need no education?,/u/as3ek/github/reversible-meme/data/images/Y-U-No.png,716
9,Y U No,/Y-U-No,Girl looking for prince charming,Y u no check friend zone?!,/u/as3ek/github/reversible-meme/data/images/Y-U-No.png,710
10,Y U No,/Y-U-No,i held the door,y u no say thank you,/u/as3ek/github/reversible-meme/data/images/Y-U-No.png,658
11,Y U No,/Y-U-No,Forever alone!,Y U NO FIND OTHER FOREVER ALONE?,/u/as3ek/github/reversible-meme/data/images/Y-U-No.png,638
12,Y U No,/Y-U-No,Team rocket,y u no catch a different pikachu?,/u/as3ek/github/reversible-meme/data/images/Y-U-No.png,638
13,Y U No,/Y-U-No,ASIANs,Y U KNOW?,/u/as3ek/github/reversible-meme/data/images/Y-U-No.png,601
14,Y U No,/Y-U-No,fox news,Y U no have news about foxes?,/u/as3ek/github/reversible-meme/data/images/Y-U-No.png,516
